0.02 280 12.757 2781.46 3036.6 8.8916
0.02 290 12.989 2796.72 3056.5 8.9273
0.02 300 13.22 2812.1 3076.5 8.9625
0.02 310 13.451 2827.48 3096.5 8.9972
0.02 320 13.682 2843.06 3116.7 9.0314
0.02 330 13.913 2858.54 3136.8 9.0651
0.02 340 14.144 2874.22 3157.1 9.0983
0.02 350 14.375 2889.9 3177.4 9.1312
0.02 360 14.606 2905.58 3197.7 9.1636
0.02 370 14.837 2921.36 3218.1 9.1956
0.02 380 15.068 2937.24 3238.6 9.2272
0.02 390 15.299 2953.22 3259.2 9.2584
0.02 400 15.53 2969.2 3279.8 9.2893
0.02 410 15.76 2985.3 3300.5 9.3198
0.02 420 15.991 3001.38 3321.2 9.3499
0.02 430 16.222 3017.56 3342 9.3797
0.02 440 16.453 3033.84 3362.9 9.4092
0.02 450 16.684 3050.22 3383.9 9.4384
0.02 460 16.915 3066.6 3404.9 9.4672
0.02 470 17.146 3082.98 3425.9 9.4958
0.02 480 17.377 3099.56 3447.1 9.5241
0.02 490 17.608 3116.14 3468.3 9.552
0.02 500 17.838 3132.84 3489.6 9.5798
0.02 520 18.3 3166.4 3532.4 9.6344
0.02 540 18.762 3200.16 3575.4 9.688
0.02 560 19.224 3234.22 3618.7 9.7406
0.02 580 19.685 3268.6 3662.3 9.7923
0.02 600 20.147 3303.26 3706.2 9.8431
0.02 620 20.609 3338.22 3750.4 9.8932
0.02 640 21.07 3373.4 3794.8 9.9424
0.02 660 21.532 3408.86 3839.5 9.9908
0.02 680 21.993 3444.64 3884.5 10.039
0.02 700 22.455 3480.7 3929.8 10.086
0.02 720 22.917 3517.06 3975.4 10.132
0.02 740 23.378 3553.74 4021.3 10.178
0.02 760 23.84 3590.6 4067.4 10.223
0.02 780 24.301 3627.88 4113.9 10.267
0.02 800 24.763 3665.34 4160.6 10.311
0.02 820 25.225 3703.1 4207.6 10.355
0.02 840 25.686 3741.08 4254.8 10.397
0.02 860 26.148 3779.44 4302.4 10.44
0.02 880 26.609 3818.02 4350.2 10.482
0.02 900 27.071 3856.88 4398.3 10.523
0.02 920 27.532 3896.06 4446.7 10.564
0.02 940 27.994 3935.42 4495.3 10.604
0.02 960 28.456 3975.08 4544.2 10.644
0.02 980 28.917 4015.06 4593.4 10.684
0.02 1000 29.379 4055.22 4642.8 10.723
0.02 1100 31.686 4259.98 4893.7 10.913
0.02 1200 33.994 4470.82 5150.7 11.093
0.02 1300 36.302 4687.36 5413.4 11.266
0.02 1400 38.61 4909.1 5681.3 11.431
0.02 1500 40.917 5135.66 5954 11.589
0.02 1600 43.225 5366.6 6231.1 11.741
0.02 1800 47.84 5840.4 6797.2 12.028
0.02 2000 52.455 6327.9 7377 12.295
0.03 0 0.00100019 -0.0400057 -0.01 0.00015
0.03 5 0.00100007 21.0199979 21.05 0.07625
0.03 10 0.00100033 42.0199901 42.05 0.1518
0.03 15 0.00100093 62.9799721 63.01 0.22446
0.03 20 0.00100183 83.9099451 83.94 0.29648
0.03 25 0.00100299 104.8199103 104.85 0.36722
0.03 30 0.0010044 125.729868 125.76 0.43675
0.03 35 0.00100603 146.6298191 146.66 0.50512
0.03 40 0.00100788 167.5197636 167.55 0.57239
0.03 45 0.00100992 188.4197024 188.45 0.63861
0.03 50 0.00101214 209.3296358 209.36 0.7038
0.03 55 0.00101455 230.2395635 230.27 0.7682
0.03 60 0.00101712 251.1594864 251.19 0.83129
0.03 65 0.00101987 272.0894039 272.12 0.89365
0.03 69.095 0.00102224 289.2393328 289.27 0.94407
0.03 69.095 5.2284 2467.648 2624.5 7.7675
0.03 70 5.2428 2469.016 2626.3 7.7727
0.03 75 5.322 2476.54 2636.2 7.8013
0.03 80 5.401 2483.97 2646 7.8292
0.03 85 5.4797 2491.409 2655.8 7.8567
0.03 90 5.5583 2498.751 2665.5 7.8837
0.03 95 5.6368 2506.196 2675.3 7.9103
0.03 100 5.7151 2513.547 2685 7.9365
0.03 105 5.7933 2520.901 2694.7 7.9623
